C?digo ?mbito;?mbito;C?digo ?rea (FAO);?rea;C?digo Elemento;Elemento;C?digo Producto (FAO);Producto;C?digo a?o;A?o;Unidad;Valor
QCL;Cultivos y productos de ganader?a;203;Espa?a;5510;Producci?n;1035;Carne, cerdo;2018;2018;toneladas;4530480
QCL;Cultivos y productos de ganader?a;203;Espa?a;5510;Producci?n;1141;Carne, conejo;2018;2018;toneladas;55824
QCL;Cultivos y productos de ganader?a;203;Espa?a;5510;Producci?n;867;Carne, ganado vacuno;2018;2018;toneladas;669010
QCL;Cultivos y productos de ganader?a;203;Espa?a;5510;Producci?n;1069;Carne, pato;2018;2018;toneladas;5470
QCL;Cultivos y productos de ganader?a;203;Espa?a;5510;Producci?n;1091;Huevos, otras aves;2018;2018;toneladas;
QCL;Cultivos y productos de ganader?a;203;Espa?a;5510;Producci?n;987;Lana grasa;2018;2018;toneladas;23554
QCL;Cultivos y productos de ganader?a;203;Espa?a;5510;Producci?n;951;Leche, entera fresca, b?fala;2018;2018;toneladas;0
QCL;Cultivos y productos de ganader?a;203;Espa?a;5510;Producci?n;882;Leche, entera fresca, vaca;2018;2018;toneladas;7335620
QCL;Cultivos y productos de ganader?a;203;Espa?a;5510;Producci?n;886;Mantequilla de leche de vaca;2018;2018;toneladas;48821
QCL;Cultivos y productos de ganader?a;203;Espa?a;5510;Producci?n;1225;Sebo;2018;2018;toneladas;104400
